OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
452,-,AMBADONGAR,GUJARAT,46 K,REE(FI-Ba),OCCURRENCE,,"CARBONATITE,SYENITE,TIGUITE,NEPHELINITE",CARBONATITE TYPE DEPOSIT,CARBONATITE COMPLEX
4,JHAKRA PARSOLA BELT,JHAKRA,RAJASTHAN,46 I,Cu,OCCURRENCE,0.2%-0.48%Cu,"SCHIST,QURTZ-EPIDOTE VEINS,AMPHIBOLITE",DISCORDANT WITHIN SHEAR,DEBARI Gp.
66,ARAVALLI BELT,LIMBO',RAJASTHAN,461,Nb-Ta(Columbite-Tantalite),NOT AVAILABLE,"60.07%Nb205,1.29%-2.7%Ta205",PEGMATITE IN IDAR GRANITE PLUTON,,IDAR GRANITE
3,JHAKRA PARSOLA BELT,BHUKIA,RAJASTHAN,461,Au-Cu,7.09 MILLION TONNES,2.96g/t OF Au,"DOLOMITE,AMPHIBOLITE,CALC-SILICATE",DISCORDANT-SHEAR CONTROL,DELWARA Gp.
6,JHAKRA-PARSOLA BELT,JAGPURA,RAJASTHAN,461,Cu,OCCURRENCE,-,"DOLOMITE,MARBLE,MICA SCHIST",DISCORDANT-SHEAR CONTROL,DEBARI Gp.
5,JHAKRA PARSOLA BELT,PARSOLA,RAJASTHAN,46 I,Zn-Pb,OCCURRENCE,-,"DOLOMITE,QUARTZITE,CARB-PHYLLITE",STRATABOUND-CONCORDANT,DEBARI Gp.
331,RAJPURATDARIBA-BETHUMNI BELT,DARIBA-RAJPURA,RAJASTHAN,45 L,Pb-Zn,29.97 M.TONNES (TOTAL OF BELT),"1.603%Pb,6.07%Zn(AVERAGE)",DOLOMITE AND GRAPHITE SCHIST,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.
471,,JHALARA,RAJASTHAN,45 L,Fl (Fluorite),,,APLITE AND PEGMATITE VEIN,VEIN TYPE,BANDED GNEISSES
54,AKOLA-WARI-BHINDER BELT,BHINDER,RAJASTHAN,45 L,Cu(Pb),OCCURRENCE,,"SCHIST AND CALC SILICATE ROCKS,DOLOMITE",LENTICULAR-STRATABOUND,BHILWARA Sgp.
53,AKOLA-WARI-BHIDER BELT,AKOLA,RAJASTHAN,45 L,Cu,3.0 M.TONNES (POSSIBLE),0.74%Cu,"SCHIST,METAVOLCANICS,GNEISSES,DOLOMITE",LENTICULAR-STRATABOUND,BHILWARA Sgp.
333,RAJPURA-DARIBA-BETHUMNI BELT,SINDESWARKALAN,RAJASTHAN,45 K,Pb-Zn,"0.93M.TONNES(EAST),0.74 M.TONNES(WEST",6.2%Pb+Zn,DOLOMITE AND GRAPHITE SCHIST,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.
330,RAJPURA-DARIBA-BETHUMNI BELT,BETHUMNI,RAJASTHAN,45 K,Pb-Zn,0.56 M.TONNES,"1.0%Zn,1.64%Pb",DOLOMITE,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.
317,PUR-BANERA BELT,KHERJI-KHERA,RAJASTHAN,45 K,Pb-Zn,OCCURRENCE,-,"DOLOMITE,SCHIST AND QUARTZITE",STRATABOUND-CONCORDANT(THIN BANDS),BHILWARA Sgp.
68,ARAVALLI BELT,SONIANA,RAJASTHAN,45K,Nb-Ta(Columbite-Tantalite),NOT AVAILABLE,38%Ta205,PEGMATITE,,ARAVALLI
65,ARAVALLI BELT,LAKHOLA,RAJASTHAN,45K,Nb-Ta(Columbite-Tantalite),100 Kg METAL RECOVERED,NOT AVAILABLE,PEGMATITE,,
332,RAJPURA-DARIBA-BETHUMNI BELT,SATDHUDIA,RAJASTHAN,45 K,Cu,0.9 M.TONNES,1.35%Cu,SCHIST AND CALC SILICATE ROCKS,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.
327,PUR-BANERA BELT(WESTERN ZONE),GADARIAKHERA,RAJASTHAN,45 K,Cu(Pb-Zn),OCCURRENCE,-,"GAR-MICA SCHIST,CALCSILICATE,AMPHIBOLITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.
328,PUR-BANERA BELT(WESTERN ZONE),GURLA,RAJASTHAN,45 K,Cu,OCCURRENCE,-,"SCHIST,QUARTZITE,CALC GNEISS",STRATABOUND-CONCORDANT,BHILWARA Sgp.
325,PUR-BANERA BELT(EASTERN ZONE),TIRANGA,RAJASTHAN,45 K,Pb-Zn,1.15 M.TONNES,"1.37%Pb,1.85%Zn",SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.
329,PUR-BANERA BELT(WESTERN ZONE),PUR-DARIBA,RAJASTHAN,45 K,Cu,1.64 M.TONNES,1.03%Cu,QUARTZ-AMPHIBOLE-Fe(MAgnetite) SCHIST,STRATABOUND-CONCORDANT,BHILWARA Sgp.
326,PUR-BANERA BELT(EASTERN ZONE),SAMODI,RAJASTHAN,45 K,Pb-Zn,3.686 M.TONNES,"1.37%Pb,1.85%Zn","Qtz.-Bio.SCHIST,CALC SCHIST,Fe(MAgnetite)",STRATABOUND-CONCORDANT,BHILWARA Sgp.
322,PUR-BANERA BELT(EASTERN ZONE),DEDWAS(SOUTH),RAJASTHAN,45 K,Zn-Pb,5.81 M.TONNES,"2.61%Zn,1.5%Pb","QUARTZ-AMPHIBOLE-Fe(MAgnetite) GNEISS,SCHIST",STRATABOUND-CONCORDANT,BHILWARA Sgp.
319,PUR-BANERA BELT (EASTERN ZONE),DEVPURA-BANERA,RAJASTHAN,45 K,Pb-Zn(Ag),3.45 M.TONNES,"0.88%Pb,3.2%Zn",SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.
323,PUR-BANERA BELT(EASTERN ZONE),DEVPURA(RANNINGpURA),RAJASTHAN,45 K,Pb-Zn(Ag),3.45 M.TONNES,"3.2%Zn,0.88%Pb",QUARTZ-AMPHIBOLE-Fe(MAgnetite) GNEISS,STRATABOUND-CONCORDANT,BHILWARA Sgp.
324,PUR-BANERA BELT(EASTERN ZONE),MALIKHERA,RAJASTHAN,45 K,Pb-Zn,2.47 M.TONNES,"2.58%Zn,0.58%Pb","GAR-BIO.SCHIST,MARBLE,Fe(MAgnetite) ROCK",STRATABOUND-CONCORDANT,BHILWARA Sgp.
318,PUR-BANERA BELT,MALIKHERA(EASTERN ZONE),RAJASTHAN,45 K,Pb-Zn,OCCURRENCE,-,"QTZ.-B10.-MUS.SCHIST,AMPH.-MAG.SCHIST",STRATABOUND CONCORDANT,BHILWARA Sgp.
320,PUR-BANERA BELT (WESTERN ZONE),BANERA R.F,RAJASTHAN,45 K,Cu,1.50 M.TONNES,0.89% Cu,SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.
384,SAWAR BELT,TIKHI,RAJASTHAN,450,Pb-Zn,"0.53 M.TONNES(PROV),0.94(PROB)","1.9%Pb,2.54%Zn","DOLOMITE,SCHIST QUARTZITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.
383,SAWAR BELT,SAWAR,RAJASTHAN,450,Pb-Zn,0.34(PROV);0.56(PROB),"2.54%Pb,1.45%Zn","DOLOMITE,SCHIST QUARTZITE",STRATABOUND-CONCORDANT,BHILWARA Sgp.
344,RAMPURA- GUCHA BELT,RAMPURA-AGUCHA,RAJASTHAN,45 K,Zn-Pb-Cu,60.36 M.TONNES(DEMON.+POSSIBLE),"13.48%Zn,1.93%Pb(AVERAGE)","SILL.GNEISS,GRAPHITIC SCHIST,AMPHIBOLITE",SHEET LIKE-MASSIVE-STRATABOUND-CONCORDANT,BHILWARA Sgp.
