,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,HOSTROCK_TYPE1,HOSTROCK_TYPE2,HOSTROCK_TYPE3,HOSTROCK_TYPE4,MORPH-STRATABOUND,MORPH-SEDIMENTARY,MORPH-BEDDED,MORPH-SHEAR,MORPH-CONCORDANT,MORPH-DISCORDANT,MORPH-LENSOID,MORPH-RESIDUAL,MORPH-VEIN,MORPH-REMOBILISED,MORPH-MAGMATIC,MORPH-QUARTZ,MORPH-VOLCANIC,MORPH-OTHER,RESERVE_AMT
1,EASTERN GHAT BELT,BAGHDAPA,ORISSA,73 C,Be,PEGMATITE IN GRANULITE,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38146.0
2,SARGIPALLI BELT,SARGIPALLI,ORISSA,64 N,Pb,GARNETIFEROUS MICA SCHIST,-,-,-,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.63
12,RORO-JOJOHATU BELT,"RORO,JOJOHATU",JHARKHAND,73,Cr,ULTRAMAFIC SUIT,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123283.0
13,BONAI-NOAMUNDI-JAMDA BELT,ITAR-BALIJODI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3.0
14,BONAI-NOAMUNDI-JAMDA BELT,MERALGORA,JHARKHAND,73,Fe-Hematite,BHQ,SHALE,BHQ,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1.5
15,BONAI-NOAMUNDI-JAMDA BELT,KUMITRA,JHARKHAND,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.5
16,BONAI-NOAMUNDI-JAMDA BELT,THAKURANI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2.66
17,BONAI-NOAMUNDI-JAMDA BELT,NOAMUNDI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,201.6
18,BONAI-NOAMUNDI-JAMDA BELT,JODA,ORISSA,73,Fe-Hematite,BHJ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,197.53
19,BONAI-NOAMUNDI-JAMDA BELT,GHATKURI,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,12.5
20,BONAI-NOAMUNDI-JAMDA BELT,KANTORIA,JHARKHAND,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1.7
21,NOAMUNDI-JAMDA SECTOR,SARAMDAH-BHADRASAI,ORISSA,73,Mn,TUFFACEOUS SHALE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,6.814
22,BONAI-KEONJHAR RANGE BELT,KHANDBAND,ORISSA,73 G,Fe-Hematite-Mn,BHQ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,69.27
23,CHIRIA-MANOHARPUKUR SECTOR,NOTABURU,JHARKHAND,73,Fe-Hematite,BHJ,QTZT,PHYLLITE,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.25
24,CHIRIA-MANOHARPUKUR SECTOR,NOTABURU,JHARKHAND,73,Fe-Hematite,SHALE,BHQ,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50.0
25,NOAMUNDI-JAMDA SECTOR,ROIDA,ORISSA,73,Mn-Fe,TUFFACEOUS SHALE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1.91
26,NOAMUNDI-JAMDA BELT,KATSAI,ORISSA,73,Mn,TUFFACEOUS SHALE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,38146.0
27,NOAMUNDI-JAMDA SECTOR,MALANGTOLI,ORISSA,73,Fe-Hematite,BHJ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,708.0
28,BONAI-NOAMUNDI-JAMDA BELT,BARAJAMDA,ORISSA,73,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.91
29,NOAMUNDI-JAMDA SECTOR,NUIA,ORISSA,73,Fe-Hematite,SHALE,BMQ,TUFF,META VOLCANICS,0,1,1,0,0,0,0,0,0,0,0,0,1,0,32.0
30,CHIRIA-MANOHARPUKUR SECTOR,CHIRIA,JHARKHAND,73,Fe-Hematite,BHJ,QTZT,QUARTZ SCHIST,PHYLLITE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2001.0
31,BONAI-BADAMPAHAR BELT,MANKAMACHA,ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,177.0
33,BONAI-BADAMPAHAR BELT,BALIA PAHAR-KHEJURDAR/,ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,47.55
34,BONAI-BADAMPAHAR BELT,BADAMGARH PAHAR,ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,21.25
35,JAMDA-KOIRA BELT,KOIRA,ORISSA,73 G,Mn-Fe,SHALE,TUFFACEOUS SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,75000.0
36,BONAI-NOAMUNDI-JAMDA BELT,BARAIBURU,JHARKHAND,73,Fe-Hematite,BFQ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,119.96
37,BONAI-NOAMUNDI-JAMDA BELT,KARAMPADA,ORISSA,73 G,Fe-Hematite,BHQ,SHALE,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,493.5
38,NOAMUNDI-JAMDA SECTOR,SARKUNDA,ORISSA,73 G,Mn-Fe,METASEDIMENTS,METAVOLCANICS,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,142500.0
39,BONAI-BADAMPAHAR BELT,KALTA,ORISSA,73 G,Fe-Hematite-Mn,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,461.3
40,BONAI-KEONJHAR RANGE BELT,NAOGOWN,ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,8.08
42,BONAI-NOAMUNDI-JAMDA BELT,AJITBURU MINES,JHARKHAND,73,Fe-Hematite,BHQ,SHALE,SHALE INTERLAYERED WITH LAVA ,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,12.99
43,BONAI-BADAMPAHAR BELT,"FULIHARI,KURMITAR,SILJORA",ORISSA,73 G,Fe-Hematite,BHQ,SHALE INTERLAYERED WITH LAVA,-,-,0,1,1,0,0,0,0,0,0,0,0,0,1,0,28.42
44,ADASH RAIMAL BELT,ADASH,ORISSA,73 C,Cu,KHONDALITE,CHARNOCKITE,AMPHIBOLITE,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,930000.0
47,BAULA-NAUSAHI BELT,BAULA-NAUHASI BLOCK,ORISSA,73 K,Cr-PGE,ULTRAMAFICS,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.471
48,EAST COAST PROVINCE,ANAMINI PARBAT,ORISSA,65 M,Al-Bauxite,CAPPING ON KHONDALITE,-,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.0
49,EASTERN GHAT BELT,DEVADA,ANDHRA PRADESH,65 N,Mn,KHONDALITE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,96502.0
50,EASTERN GHAT BELT,NISHIKHAL,ORISSA,65 M,Mn,KHONDALITE,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,0,335100.0
