OBJECTID,METALLOGEN,LOCALITY,STATE,TOPOSHEET,MINERAL_OR,RESERVE,GRADE,HOSTROCK,MORPHOGENE,FORMATION
219,,KOLABIRA,ORISSA,73 C,"Be,Nb,Ta",OCCURRENCE,"37.2%Nb203,36.3%Ta205",PEGMATITE IN GRANITE GNEISS,LENSOID BODY,
175,EASTERN GHAT BELT,BAGHDAPA,ORISSA,73 C,Be,OCCURRENCE,-,PEGMATITE IN GRANULITE,LENSOID BODY,EASTERN GHAT Sgp.
368,SARGIPALLI BELT,SARGIPALLI,ORISSA,64 N,Pb,2.63 M.TONNES,5.7% Pb,GARNETIFEROUS MICA SCHIST,STRATABOUND-REMOBILISED,GANGpUR Gp.
417,SONAKHAN BELT,SONAKHAN,CHATTISGARH,64 K,Au,NA,3.4 g/t,MAFIC AND ACID VOLCANICS,SHEAR CONTROLLED,SONAKHAN Op.
430,SUKINDA-NAUI.1?st/ BELT ;14111,KANSA SECTOR,ORISSA,73 G,Ni,,,ULTRAMAFICS,STRATIFORM-MAGMATIC ( IN TENSIONAL TECTONIC REGIME),SUKINDA ULTRAMAFIC
425,SUKINDA BELT,GUNJANG,ORISSA,73 G,Cr(Ni),"340,000 TONNES",35%45% Cr2O3,ULTRAMAFICS,STRATIFORM-MAGMATIC ( IN TENSIONAL TECTONIC REGIME),
429,SUKINDA- NAUSAHI BELT,SARUABIL,ORISSA,73 G,Cr,8.86 M.TONNES,+48% Cr2O3,ULTRAMAFICS,STRATIFORM-MAGMATIC ( IN TENSIONAL TECTONIC REGIME),
428,SUKINDA BELT,SUKRANGI,ORISSA,73 G,Cr(Ni),7.6 M.TONNES,42%-48% Cr2O3,ULTRAMAFICS,STRATIFORM-MAGMATIC ( IN TENSIONAL TECTONIC REGIME),
427,SUKINDA BELT,KALIAPANI SOUTH,ORISSA,73 G,Cr(Ni),15.54 M.TONNES,305-48% Cr2O3,ULTRAMAFICS,STRATIFORM-MAGMATIC ( IN TENSIONAL TECTONIC REGIME),
423,SUKINDA BELT,BHIM.TONNESANAGAR,ORISSA,73 G,Cr(Ni),93.29 M.TONNES,30%-48% Cr2O3,ULTRAMAFICS-LIC,STRATIFORM-MAGMATIC ( IN TENSIONAL TECTONIC REGIME),
426,SUKINDA BELT,KALARANGI,ORISSA,73 G,Cr(Ni),"283,600 TONNES",35%-45%,ULTRAMAFICS,STRATIFORM-MAGMATIC ( IN TENSIONAL TECTONIC REGIME),
424,SUKINDA BELT,DANGAKATA,ORISSA,73 G,Cr(Ni),"37,000 TONNES",,ULTRAMAFICS,STRATIFORM-MAGMATIC ( IN TENSIONAL TECTONIC REGIME),
354,RORO-JOJOHATU BELT,"RORO,JOJOHATU",JHARKHAND,73,Cr,"i)34,747 t ii)88,536 t",i)39%-48%Cr203 ii)45%-52% Cr203,ULTRAMAFIC SUIT,MAGMATIC SEGREGATION,IRON ORE GROUP
114,BONAI-NOAMUNDI-JAMDA PROVINCE,ITAR-BALIJODI,ORISSA,73,Fe(Hematite),3.0 M.TONNES (TOTAL),58%-61% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI)
118,BONAI-NOAMUNDI-JAMDA PROVINCE,MERALGORA,JHARKHAND,73,Fe(Hematite),1.50 M.TONNES,61%-64% Fe,"BHQ,SHALE,BHQ",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI)
117,BONAI-NOAMUNDI-JAMDA PROVINCE,KUMITRA,JHARKHAND,73,Fe(Hematite),0.50 M.TONNES,59%-61% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI)
120,BONAI-NOAMUNDI-JAMDA PROVINCE,THAKURANI,ORISSA,73,Fe(Hematite),24/9 M.TONNES(TOTAL),60%-64% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI)
119,BONAI-NOAMUNDI-JAMDA PROVINCE,NOAMUNDI,ORISSA,73,Fe(Hematite),201.6 M.TONNES,58%-67% Fe,"BHQ,SHALE INTERLAYERED WITH LAVA FLOWS",BEDDED-VOLCANOSEDIMENTARY,IRON ORE Sgp.(BONAI)
115,BONAI-NOAMUNDI-JAMDA PROVINCE,JODA,ORISSA,73,Fe(Hematite),197.53 M.TONNES,63%-69% Fe,"BHJ,SHALE",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
113,BONAI-NOAMUNDI-JAMDA PROVINCE,GHATKURI,ORISSA,73,Fe(Hematite),12.50 M.TONNES,59%-61 %Fe,"BHQ,SHALE INTERLAYERED WITH LAVA",BEDDED-VOLCANOSEDIMENTARY,BONAI Gp.
