X,Y,objectid,metallogenesis,locality,statename,toposheet,latitude,longitude,commodity,hostrock,morphogenesis,formation,latdd,londd
74.1333333299675,24.9500000001235,1,Rajpura-Dariba-Bethumni Belt,Dariba-Rajpura,Rajasthan,45 L,24 57-24 58N,74 08E,Lead-Zinc,Dolomite And Graphite Schist,Sheet Like/Lensoid Stratabound-Concordant,Bhilwara Sgp.,24.95,74.13333333
74.1499999998092,25.0333333302569,2,Rajpura-Dariba-Bethumni Belt,Sindeswarkalan,Rajasthan,45 K,25 02N,74 09E,Lead-Zinc,Dolomite And Graphite Schist,Sheet Like/Lensoid Stratabound-Concordant,Bhilwara Sgp.,25.03333333,74.15
83.9166666702401,22.0500000003428,3,Sargipalli Belt,Sargipalli,Orissa,64 N,22 03N,83 55E,Lead-Zinc,Garnetiferous Mica Schist,Stratabound-Remobilised,Gangpur Gp.,22.05,83.91666667
75.3333333303993,25.7833333296241,4,Sawar Belt,Sawar,Rajasthan,45 O,25 47N,75 20E,Lead-Zinc,"Dolomite,Schist Quartzite",Stratabound-Concordant,Bhilwara Sgp.,25.78333333,75.33333333
75.2333333302137,25.7666666700759,5,Sawar Belt,Tikhi,Rajasthan,45 O,25 46N,75 14E,Lead-Zinc,"Dolomite,Schist Quartzite",Stratabound-Concordant,Bhilwara Sgp.,25.76666667,75.23333333
78.905555560004,14.7583333298306,6,Varikunta-Zangamarajupalle,Gollapalle,Andhra Pradesh,73 J,14 45 30 N,78 54 20 E,Lead-Zinc,"Dolomite,Slates,Cherts",Stratabound-Concordant,Cumbum Slates,14.75833333,78.90555556
78.8833333302545,14.7666666697925,7,Varikunta-Zangamarazupalle,Zangamarazupalle,Andhra Pradesh,73 J,14 46 N,78 53 E,Lead-Zinc,Dolomite,Stratabound-Concordant,Cumbum,14.76666667,78.88333333
73.733333330123,24.3500000002562,8,Zawar Belt,Balaria,Rajasthan,45 H,24 21N,73 44E,Lead-Zinc,Dolomite-Cherty Quartzite,Stratabound-Concordant,Udaipur Gp.,24.35,73.73333333
73.7000000003211,24.3333333299668,9,Zawar Belt,Baroi Mogra,Rajasthan,45 H,24 20N,73 42E,Lead-Zinc,Dolomite,Stratabound-Concordant,Udaipur Gp.,24.33333333,73.7
73.7000000003211,24.3500000002562,10,Zawar Belt,Mochia,Rajasthan,45 H,24 21-22N,73 42-43E,Lead-Zinc,Dolomite,Stratabound-Dissemination/Stringers,Udaipur Gp.,24.35,73.7
73.6666666696207,24.266666670016,11,Zawar Belt,Paduna,Rajasthan,45 H,24 16N,73 40E,Lead-Zinc,"Dolomite,Cherty Quartzite",Stratabound-Dissemination/Stringers,Udaipur Gp.,24.26666667,73.66666667
73.683333329581,24.3166666698801,12,Zawar Belt,Sonaria-Ruparia,Rajasthan,45 H,24 19-24 21N,73 41-73 44E,Lead-Zinc,Dolomite,Stratabound-Dissemination/Stringers,Udaipur Gp.,24.31666667,73.68333333
73.683333329581,24.3166666698801,13,Zawar Belt,Zawarmala,Rajasthan,45 H,24 19N,73 41E,Lead-Zinc,"Dolomite,Quartzite,Conglomerate",Stratabound-Dissemination/Stringers,Udaipur Gp.,24.31666667,73.68333333
74.1833333296112,34.1333333299568,14,Other,Buniyar,Jammu & Kashmir,43 J,34 08N,74 11E,Lead-Zinc,"Quartz Sericite Schist,Chlorite Schist",Stratabound-Discordant,Buniyar Fm..,34.13333333,74.18333333
